Day,Location,Occupants,Water_Usage_Liters,AI_Result,Status,Usage_Deviation_%,Water_Waste_Score,Leak_Risk_Score,Risk_Level,AI_Recommendation,Potential_Saving_Liters,Smart_Action,Estimated_Saving_Liters
5,College Block B,216,2405.37,1,Normal,51.703325292086475,51.7,62.0,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
5,Canteen,203,1723.53,1,Normal,5.446603100021099,5.4,6.5,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
6,Hostel A,175,1841.73,1,Normal,18.137616503204036,18.1,21.8,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
6,Hostel B,222,2288.66,1,Normal,23.738105536332178,23.7,28.5,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
6,College Block A,124,1092.93,1,Normal,-33.24843798669769,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
6,College Block B,107,1331.67,1,Normal,-16.013433612411887,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
6,Canteen,208,1879.68,1,Normal,14.999954114548439,15.0,18.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
7,Hostel A,195,1707.24,1,Normal,9.510766724183274,9.5,11.4,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
7,Hostel B,141,1202.47,1,Normal,-34.98756487889273,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
7,College Block A,231,2766.01,1,Normal,68.93624298391876,68.9,82.7,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",0.0,"🚨 Immediate inspection + check pipes, taps and tanks",0.0
7,College Block B,192,1329.27,1,Normal,-16.16479825930655,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
7,Canteen,91,693.83,-1,Abnormal,-57.55106286000961,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
8,Hostel A,160,1447.66,1,Normal,-7.139970621628379,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
8,Hostel B,133,1188.62,1,Normal,-35.73637543252595,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
8,College Block A,132,1164.43,1,Normal,-28.88151907702267,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
8,College Block B,239,2436.12,1,Normal,53.6426848304243,53.6,64.4,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
8,Canteen,117,1047.03,1,Normal,-35.94207420595227,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
9,Hostel A,218,2368.93,1,Normal,51.95481632103246,52.0,62.3,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
9,Hostel B,172,2026.06,1,Normal,9.54044117647059,9.5,11.4,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
9,College Block A,243,1716.96,1,Normal,4.864686589589027,4.9,5.8,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
9,College Block B,131,1549.29,1,Normal,-2.288444255238627,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
9,Canteen,118,1343.08,1,Normal,-17.82955696067006,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
10,Hostel A,230,2172.5,1,Normal,39.35483043291404,39.4,47.2,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
10,Hostel B,86,931.69,1,Normal,-49.62748702422145,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
10,College Block A,81,1072.3,1,Normal,-34.50843151266407,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
10,College Block B,116,1273.19,1,Normal,-19.701685508411764,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
10,Canteen,210,2236.81,1,Normal,36.84938253477351,36.8,44.2,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
11,Hostel A,240,4962.51,-1,Abnormal,218.3197880651969,100.0,100.0,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",3403.54,"🚨 Immediate inspection + check pipes, taps and tanks",3403.54
11,Hostel B,178,2260.78,1,Normal,22.230752595155725,22.2,26.7,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
11,College Block A,189,2088.6,1,Normal,27.562892793667658,27.6,33.1,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
11,College Block B,240,2142.73,1,Normal,35.138987433580894,35.1,42.2,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
11,Canteen,127,1502.75,1,Normal,-8.060850226827089,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
12,Hostel A,112,1176.67,1,Normal,-24.52260146122119,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
12,Hostel B,198,1827.41,1,Normal,-1.1997188581314786,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
12,College Block A,87,919.98,1,Normal,-43.81149568499551,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
12,College Block B,109,1231.7,1,Normal,-22.31840184160319,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
12,Canteen,127,3077.08,-1,Abnormal,88.2576070431109,88.3,100.0,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",1442.5749999999998,"🚨 Immediate inspection + check pipes, taps and tanks",1442.5749999999998
13,Hostel A,96,985.86,1,Normal,-36.7620929203256,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
13,Hostel B,203,1604.72,1,Normal,-13.239619377162622,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
13,College Block A,125,1382.84,1,Normal,-15.541956013216804,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
13,College Block B,146,1113.44,1,Normal,-29.776894817337546,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
13,Canteen,133,1332.87,1,Normal,-18.454210907889557,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
14,Hostel A,165,1575.85,1,Normal,1.0827661853659714,1.1,1.3,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
14,Hostel B,209,2011.52,1,Normal,8.754325259515575,8.8,10.5,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
14,College Block A,105,1348.21,1,Normal,-17.657010584434218,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
14,College Block B,92,731.96,-1,Abnormal,-53.8363054412437,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
14,Canteen,222,2087.96,1,Normal,27.74264991541781,27.7,33.3,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
15,Hostel A,165,1555.0,1,Normal,-0.2546553172928297,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
15,Hostel B,249,2843.0,-1,Abnormal,53.708910034602084,53.7,64.5,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,993.4000000000001,⚠️ Monitor consumption + inspect high-use areas,993.4000000000001
15,College Block A,180,1712.09,1,Normal,4.5672474974195465,4.6,5.5,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
15,College Block B,85,735.5,-1,Abnormal,-53.61304258707409,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
15,Canteen,126,1348.89,1,Normal,-17.4740976625951,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
16,Hostel A,137,3235.0,-1,Abnormal,107.50880388974771,100.0,100.0,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",1676.03,"🚨 Immediate inspection + check pipes, taps and tanks",1676.03
16,Hostel B,102,961.55,1,Normal,-48.0130839100346,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
16,College Block A,113,1025.12,1,Normal,-37.38998723516011,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
16,College Block B,168,1841.61,1,Normal,16.14776973653092,16.1,19.4,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
16,Canteen,155,1801.12,1,Normal,10.193606015276782,10.2,12.2,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
17,Hostel A,165,1304.25,1,Normal,-16.338993053105575,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
17,Hostel B,164,1865.6,1,Normal,0.8650519031141869,0.9,1.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
17,College Block A,180,4364.33,-1,Abnormal,166.55489797289457,100.0,100.0,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",2727.02,"🚨 Immediate inspection + check pipes, taps and tanks",2727.02
17,College Block B,226,2502.38,1,Normal,57.82161045677439,57.8,69.4,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
17,Canteen,148,1661.08,1,Normal,1.6258745002309456,1.6,2.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
18,Hostel A,207,2208.82,1,Normal,41.68457378910435,41.7,50.0,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
18,Hostel B,219,1989.09,1,Normal,7.5416306228373715,7.5,9.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
18,College Block A,180,2210.02,1,Normal,34.978715087552146,35.0,42.0,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
18,College Block B,247,6406.46,-1,Abnormal,304.0464815603173,100.0,100.0,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",4820.885,"🚨 Immediate inspection + check pipes, taps and tanks",4820.885
18,Canteen,233,2374.76,1,Normal,45.28924659147571,45.3,54.3,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
19,Hostel A,194,1821.29,1,Normal,16.826494416185042,16.8,20.2,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
19,Hostel B,236,1818.28,1,Normal,-1.6933391003460176,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
19,College Block A,243,2243.0,1,Normal,36.99299460700784,37.0,44.4,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
19,College Block B,115,1144.41,1,Normal,-27.82366018636771,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
19,Canteen,231,2324.09,1,Normal,42.18922548416799,42.2,50.6,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
20,Hostel A,102,1156.5,1,Normal,-25.816404420867627,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
20,Hostel B,96,781.92,1,Normal,-57.724913494809684,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
20,College Block A,98,2686.81,1,Normal,64.09904049935565,64.1,76.9,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",0.0,"🚨 Immediate inspection + check pipes, taps and tanks",0.0
20,College Block B,155,1472.14,1,Normal,-7.154186966873199,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
20,Canteen,190,1617.2,1,Normal,-1.0587303189650727,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
21,Hostel A,219,2228.91,1,Normal,42.97324515545519,43.0,51.6,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
21,Hostel B,136,1222.54,1,Normal,-33.902465397923876,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
21,College Block A,246,3375.73,-1,Abnormal,106.175373020381,100.0,100.0,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",1738.42,"🚨 Immediate inspection + check pipes, taps and tanks",1738.42
21,College Block B,88,1003.51,1,Normal,-36.71002633114169,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
21,Canteen,86,800.83,1,Normal,-51.00473843763097,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
22,Hostel A,84,752.82,1,Normal,-51.7104241903308,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
22,Hostel B,215,2230.44,1,Normal,20.590397923875443,20.6,24.7,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
22,College Block A,124,1313.52,1,Normal,-19.775729702988436,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
22,College Block B,238,2641.94,1,Normal,66.62346467369883,66.6,79.9,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",0.0,"🚨 Immediate inspection + check pipes, taps and tanks",0.0
22,Canteen,98,769.36,1,Normal,-52.93009198503523,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
23,Hostel A,220,2385.83,1,Normal,53.038865404722344,53.0,63.6,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
23,Hostel B,206,2265.31,1,Normal,22.475670415224915,22.5,27.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
23,College Block A,171,1791.81,1,Normal,9.436209392234824,9.4,11.3,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
23,College Block B,245,2226.37,1,Normal,40.41404537785978,40.4,48.5,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
23,Canteen,239,2391.27,1,Normal,46.29933833178851,46.3,55.6,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
24,Hostel A,243,2461.72,1,Normal,57.906823094735614,57.9,69.5,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
24,Hostel B,225,1840.13,1,Normal,-0.5120025951556986,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
24,College Block A,133,1268.48,1,Normal,-22.52658323713896,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
24,College Block B,91,1064.62,1,Normal,-32.85590400958643,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
24,Canteen,196,1699.68,1,Normal,3.987445740453529,4.0,4.8,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
25,Hostel A,169,1516.71,1,Normal,-2.710764158386626,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
25,Hostel B,234,2348.68,1,Normal,26.983131487889274,27.0,32.4,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
25,College Block A,240,2034.29,1,Normal,24.245866695983047,24.2,29.1,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
25,College Block B,114,1357.06,1,Normal,-14.41212178547214,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
25,Canteen,126,1326.29,1,Normal,-18.8567792695648,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
26,Hostel A,197,2248.31,1,Normal,44.21765652963174,44.2,53.1,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
26,Hostel B,90,959.36,1,Normal,-48.13148788927336,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
26,College Block A,240,2353.56,1,Normal,43.74553383293328,43.7,52.5,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
26,College Block B,208,1704.69,1,Normal,7.512416631190594,7.5,9.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
26,Canteen,212,2442.68,1,Normal,49.44463308463416,49.4,59.3,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
27,Hostel A,132,1498.85,1,Normal,-3.856392361623387,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
27,Hostel B,189,1786.9,1,Normal,-3.3899221453287103,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
27,College Block A,83,802.68,1,Normal,-50.975685728420395,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
27,College Block B,151,1372.01,1,Normal,-13.469246172524155,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
27,Canteen,197,2398.38,1,Normal,46.73433241256527,46.7,56.1,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
28,Hostel A,136,1344.76,1,Normal,-13.74048249805962,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
28,Hostel B,230,2836.67,-1,Abnormal,53.36667387543253,53.4,64.0,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,987.0700000000002,⚠️ Monitor consumption + inspect high-use areas,987.0700000000002
28,College Block A,245,2745.04,1,Normal,67.65548368971056,67.7,81.2,🔴 High Risk,"🚨 Inspect pipes, taps and tanks immediately",0.0,"🚨 Immediate inspection + check pipes, taps and tanks",0.0
28,College Block B,129,1209.89,1,Normal,-23.69392807025841,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
28,Canteen,131,1117.09,1,Normal,-31.655761224346218,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
29,Hostel A,158,1633.55,1,Normal,4.78392784979826,4.8,5.7,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
29,Hostel B,211,2130.6,1,Normal,15.192474048442909,15.2,18.2,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
29,College Block A,96,893.81,1,Normal,-45.40984908172552,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
29,College Block B,205,2153.74,1,Normal,35.83337275121013,35.8,43.0,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
29,Canteen,194,2337.81,1,Normal,43.02862334468232,43.0,51.6,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
30,Hostel A,223,2148.01,1,Normal,37.78392143530665,37.8,45.3,🟡 Medium Risk,⚠️ Monitor usage and inspect possible wastage,0.0,⚠️ Monitor consumption + inspect high-use areas,0.0
30,Hostel B,104,1403.19,1,Normal,-24.13548875432525,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
30,College Block A,201,1742.29,1,Normal,6.411736323603962,6.4,7.7,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
30,College Block B,171,1612.3,1,Normal,1.685508411774917,1.7,2.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
30,Canteen,91,771.71,1,Normal,-52.78631757015121,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
31,Hostel A,157,1390.11,1,Normal,-10.831510548631476,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
31,Hostel B,135,1517.77,1,Normal,-17.940635813148788,0.0,0.0,🟢 Low Risk,✅ Usage is within the normal range,0.0,✅ Maintain current usage and continue monitoring,0.0
